geo_id,abbr,state,year,state_pnr,male_pnr,female_pnr,age24_pnr,age25to34_pnr,age35to44_pnr,age45to54_pnr,age55_pnr,med_expansion,dap,hiv2018
1,AL,Alabama,2018,2.87,3.45,0.93,1.58,3.57,3.69,3.82,2.09,0,0,607
2,AK,Alaska,2018,8.14,10.52,1.75,4.13,7.83,12.75,18.5,9.33,1,0,23
4,AZ,Arizona,2018,3.94,4.37,1.33,3.06,4.6,4.28,3.8,3.37,1,0,759
5,AR,Arkansas,2018,2.86,3.28,0.96,1.49,2.93,5.33,3.24,2.39,1,0,281
6,CA,California,2018,6.07,6.42,2.83,3.96,6.33,7,7.27,6.45,1,1,4712
8,CO,Colorado,2018,6.32,6.64,3.36,4.63,6.71,7.83,6.05,6.04,1,1,399
9,CT,Connecticut,2018,9.53,12.16,2.9,9.3,13.49,11.4,6.56,4.75,1,0,258
10,DE,Delaware,2018,3.79,4.86,0.97,1.81,5.75,3.59,3.53,4,1,0,92
11,DC,District of Columbia,2018,8.85,10.99,1.95,3.28,10.13,10.62,14.74,7.06,1,1,275
12,FL,Florida,2018,3.02,3.67,0.81,1.93,3.28,3.69,3.71,2.31,0,0,4573
13,GA,Georgia,2018,1.86,2.25,0.57,0.99,1.86,2.56,2.76,1.5,0,0,2501
15,HI,Hawaii,2018,6.96,7.28,4,7.33,6.42,14.4,5.53,4.18,1,0,70
16,ID,Idaho,2018,8.15,8.45,5.5,6.67,8.83,11.75,7.67,3.6,1,0,37
17,IL,Illinois,2018,8.15,9.27,3.28,4.9,10.29,9.86,9.01,5.74,1,1,1361
18,IN,Indiana,2018,4.6,5.36,1.84,3.1,5.35,5.54,5.42,3.33,1,1,512
19,IA,Iowa,2018,9.52,11.23,2.42,5.97,12.92,21.92,6.38,4.59,1,0,115
20,KS,Kansas,2018,7.35,8.99,1.85,3.36,9.46,12,8.93,7.63,0,0,155
21,KY,Kentucky,2018,3.46,4.05,0.89,2.38,3.64,4.67,3.41,3,1,0,372
22,LA,Louisiana,2018,2.37,2.66,1.6,1.75,2.44,3.37,2.56,1.81,1,0,972
23,ME,Maine,2018,13.41,14.8,4.25,21.33,10.18,19.8,11,12.75,1,0,30
24,MD,Maryland,2018,3.29,4.18,0.95,2.9,3.94,3.84,3.05,1.89,1,0,996
25,MA,Massachusetts,2018,12.22,15.54,2.54,13.06,14.33,11.05,11.89,8.71,1,1,650
26,MI,Michigan,2018,4.67,5.35,1.92,3.42,4.93,6.22,5.68,3.26,1,0,716
27,MN,Minnesota,2018,10.18,12.98,2.43,8.24,13.27,12.6,7.93,6,1,0,288
28,MS,Mississippi,2018,1.68,2.04,0.67,1.11,1.74,2.59,2.09,1.22,0,0,477
29,MO,Missouri,2018,5.2,6.24,1.23,2.91,5.26,7.57,8.26,4.22,1,0,447
30,MT,Montana,2018,5.88,6,6.5,6,5.54,5.89,32,2.4,1,0,23
31,NE,Nebraska,2018,5.8,6.76,1.69,4.15,6.15,5.45,9.5,5.17,1,0,79
32,NV,Nevada,2018,2.54,2.73,1.21,1.7,2.43,3.62,3.21,1.47,1,0,503
33,NH,New Hampshire,2018,15.68,21.33,2.3,14,27.71,17.14,10.13,9.6,1,0,38
34,NJ,New Jersey,2018,4.32,5.32,1.23,4.25,5.35,5.07,3.52,2.37,1,0,1025
35,NM,New Mexico,2018,6.78,7.48,2.47,5.26,9.47,6.12,5.53,6.33,1,0,122
36,NY,New York,2018,9.9,11.69,3.4,6.92,12.47,12.18,8.86,5.68,1,1,2456
37,NC,North Carolina,2018,2.88,3.33,0.95,1.86,3.19,3.98,3.8,2.03,0,0,1187
38,ND,North Dakota,2018,4.61,5.4,0.83,3.29,4.06,13.25,4,1.75,1,0,36
39,OH,Ohio,2018,5.86,6.84,1.89,3.76,6.96,8.01,5.8,4.03,1,1,977
40,OK,Oklahoma,2018,3.47,4,0.94,2.62,3.93,4.39,3.61,2.1,1,0,280
41,OR,Oregon,2018,10.63,12.01,4.51,9.47,11.3,11.96,11,8.33,1,0,229
42,PA,Pennsylvania,2018,6.12,7.2,2.59,4.95,7.61,6.7,5.8,4.31,1,0,1023
44,RI,Rhode Island,2018,11.87,14,3.13,14.83,17,11.28,8.44,5.58,1,0,75
45,SC,South Carolina,2018,1.78,2.14,0.64,0.99,2.2,2.57,1.98,0.94,0,0,715
46,SD,South Dakota,2018,4.19,4.22,3,3,5,5.44,2.1,-1,0,0,29
47,TN,Tennessee,2018,3.49,3.98,1.45,1.87,3.96,4.73,5.18,2.39,0,0,762
48,TX,Texas,2018,3.2,3.68,1,2.08,3.35,3.98,4.04,2.99,0,0,4388
49,UT,Utah,2018,12.75,13.65,4.36,7.04,15.24,21.21,16.36,4.74,1,0,119
50,VT,Vermont,2018,9.84,12.64,2.2,12.33,7.63,14,23,7.25,1,0,18
51,VA,Virginia,2018,3.71,4.45,0.89,1.93,5.06,4.08,4.5,2.29,1,1,858
53,WA,Washington,2018,14.34,17.46,3.27,12.23,15.26,18.49,13.65,10.17,1,1,504
54,WV,West Virginia,2018,5.23,5.92,1.92,2.42,6.24,7.47,5.08,13.5,1,0,86
55,WI,Wisconsin,2018,6.35,7.15,2.25,3.9,6.57,10.56,6.68,5.38,0,0,206
56,WY,Wyoming,2018,7.7,7.78,8,-1,9,6.5,1.67,-1,0,0,12
72,PR,Puerto Rico,2018,0.8,0.92,0.49,0.93,0.99,1.07,0.49,0.54,1,0,436